规格名称,商品标题,规格图,规格ID,规格编码,关联数,简称,重量,操作
静音款,打气筒自行车汽车家用多功能高压充气泵电动电动车摩托车篮球便携,https://cbu01.alicdn.com/img/ibank/O1CN01LaiDsZ1LEKwRuHDtq_!!2219363761267-0-cib.310x310.jpg,1030799403774,SKU-403774,18,静音,650,关联订单商品
10个装,10个装防滑无痕衣架简约晾衣服防肩角衣架,https://cbu01.alicdn.com/img/ibank/O1CN01dueH0222LglGjjfTN_!!6000000007104-0-tps-800-800.310x310.jpg,974110832422,SKU-832422,5,10个,280,关联订单商品
20个装,10个装防滑无痕衣架简约晾衣服防肩角衣架,https://cbu01.alicdn.com/img/ibank/O1CN01dueH0222LglGjjfTN_!!6000000007104-0-tps-800-800.310x310.jpg,974110832423,SKU-832423,9,20个,280,关联订单商品
50个装,10个装防滑无痕衣架简约晾衣服防肩角衣架,https://cbu01.alicdn.com/img/ibank/O1CN01dueH0222LglGjjfTN_!!6000000007104-0-tps-800-800.310x310.jpg,974110832424,SKU-832424,20,50个,280,关联订单商品
加厚款10个,10个装防滑无痕衣架简约晾衣服防肩角衣架,https://cbu01.alicdn.com/img/ibank/O1CN01dueH0222LglGjjfTN_!!6000000007104-0-tps-800-800.310x310.jpg,974110832425,SKU-832425,7,加厚,280,关联订单商品
防滑款10个,10个装防滑无痕衣架简约晾衣服防肩角衣架,https://cbu01.alicdn.com/img/ibank/O1CN01dueH0222LglGjjfTN_!!6000000007104-0-tps-800-800.310x310.jpg,974110832426,SKU-832426,6,防滑,280,关联订单商品
彩色款10个,10个装防滑无痕衣架简约晾衣服防肩角衣架,https://cbu01.alicdn.com/img/ibank/O1CN01dueH0222LglGjjfTN_!!6000000007104-0-tps-800-800.310x310.jpg,974110832427,SKU-832427,8,彩色,280,关联订单商品
豪华款20个,10个装防滑无痕衣架简约晾衣服防肩角衣架,https://cbu01.alicdn.com/img/ibank/O1CN01dueH0222LglGjjfTN_!!6000000007104-0-tps-800-800.310x310.jpg,974110832428,SKU-832428,15,豪华,280,关联订单商品
50双装,特惠100双一次性筷子方便家用竹筷独立包装商用,https://cbu01.alicdn.com/img/ibank/O1CN01Nmrapb22vPbBsboYx_!!2219389497182-0-cib.310x310.jpg,980059042827,SKU-042827,3,50双,450,关联订单商品
100双装,特惠100双一次性筷子方便家用竹筷独立包装商用,https://cbu01.alicdn.com/img/ibank/O1CN01Nmrapb22vPbBsboYx_!!2219389497182-0-cib.310x310.jpg,980059042828,SKU-042828,5,100双,450,关联订单商品
200双装,特惠100双一次性筷子方便家用竹筷独立包装商用,https://cbu01.alicdn.com/img/ibank/O1CN01Nmrapb22vPbBsboYx_!!2219389497182-0-cib.310x310.jpg,980059042829,SKU-042829,8,200双,450,关联订单商品
竹制款,特惠100双一次性筷子方便家用竹筷独立包装商用,https://cbu01.alicdn.com/img/ibank/O1CN01Nmrapb22vPbBsboYx_!!2219389497182-0-cib.310x310.jpg,980059042830,SKU-042830,6,竹制,450,关联订单商品
木制款,特惠100双一次性筷子方便家用竹筷独立包装商用,https://cbu01.alicdn.com/img/ibank/O1CN01Nmrapb22vPbBsboYx_!!2219389497182-0-cib.310x310.jpg,980059042831,SKU-042831,5,木制,450,关联订单商品
环保可降解款,特惠100双一次性筷子方便家用竹筷独立包装商用,https://cbu01.alicdn.com/img/ibank/O1CN01Nmrapb22vPbBsboYx_!!2219389497182-0-cib.310x310.jpg,980059042832,SKU-042832,12,环保,450,关联订单商品
基础款,【商超中文包装+69码可入仓】五档三眼怪超长续航强光手电筒,https://cbu01.alicdn.com/img/ibank/O1CN015rnPyD1VCdYH25GFw_!!2218707872617-0-cib.310x310.jpg,987835582762,SKU-582762,5,基础,220,关联订单商品
升级款,【商超中文包装+69码可入仓】五档三眼怪超长续航强光手电筒,https://cbu01.alicdn.com/img/ibank/O1CN015rnPyD1VCdYH25GFw_!!2218707872617-0-cib.310x310.jpg,987835582763,SKU-582763,12,升级,220,关联订单商品
防水款,【商超中文包装+69码可入仓】五档三眼怪超长续航强光手电筒,https://cbu01.alicdn.com/img/ibank/O1CN015rnPyD1VCdYH25GFw_!!2218707872617-0-cib.310x310.jpg,987835582764,SKU-582764,18,防水,220,关联订单商品
战术款,【商超中文包装+69码可入仓】五档三眼怪超长续航强光手电筒,https://cbu01.alicdn.com/img/ibank/O1CN015rnPyD1VCdYH25GFw_!!2218707872617-0-cib.310x310.jpg,987835582765,SKU-582765,25,战术,220,关联订单商品
超长续航款,【商超中文包装+69码可入仓】五档三眼怪超长续航强光手电筒,https://cbu01.alicdn.com/img/ibank/O1CN015rnPyD1VCdYH25GFw_!!2218707872617-0-cib.310x310.jpg,987835582766,SKU-582766,35,续航,220,关联订单商品
成人款10个,衣架家用无痕加粗款成人款衣架子居家防滑晾晒晾衣撑衣服撑子,https://cbu01.alicdn.com/img/ibank/O1CN01GCc68r20DKJu7DCAF_!!2220828846815-0-cib.310x310.jpg,987297583041,SKU-583041,5,成人,320,关联订单商品
儿童款10个,衣架家用无痕加粗款成人款衣架子居家防滑晾晒晾衣撑衣服撑子,https://cbu01.alicdn.com/img/ibank/O1CN01GCc68r20DKJu7DCAF_!!2220828846815-0-cib.310x310.jpg,987297583042,SKU-583042,4,儿童,320,关联订单商品
多功能款,衣架家用无痕加粗款成人款衣架子居家防滑晾晒晾衣撑衣服撑子,https://cbu01.alicdn.com/img/ibank/O1CN01GCc68r20DKJu7DCAF_!!2220828846815-0-cib.310x310.jpg,987297583043,SKU-583043,8,多功能,320,关联订单商品
无痕款,衣架家用无痕加粗款成人款衣架子居家防滑晾晒晾衣撑衣服撑子,https://cbu01.alicdn.com/img/ibank/O1CN01GCc68r20DKJu7DCAF_!!2220828846815-0-cib.310x310.jpg,987297583044,SKU-583044,6,无痕,320,关联订单商品
浸塑款,衣架家用无痕加粗款成人款衣架子居家防滑晾晒晾衣撑衣服撑子,https://cbu01.alicdn.com/img/ibank/O1CN01GCc68r20DKJu7DCAF_!!2220828846815-0-cib.310x310.jpg,987297583045,SKU-583045,7,浸塑,320,关联订单商品
豪华套装20个,衣架家用无痕加粗款成人款衣架子居家防滑晾晒晾衣撑衣服撑子,https://cbu01.alicdn.com/img/ibank/O1CN01GCc68r20DKJu7DCAF_!!2220828846815-0-cib.310x310.jpg,987297583046,SKU-583046,15,豪华,320,关联订单商品
小瓶100ml,泡泡水补充液泡泡枪泡泡机吹泡泡七彩泡泡液浓缩液直销,https://cbu01.alicdn.com/img/ibank/O1CN011UGZ0k1n3clM0NS8q_!!3644355034-0-cib.310x310.jpg,892484974071,SKU-974071,4,小瓶,350,关联订单商品
中瓶250ml,泡泡水补充液泡泡枪泡泡机吹泡泡七彩泡泡液浓缩液直销,https://cbu01.alicdn.com/img/ibank/O1CN011UGZ0k1n3clM0NS8q_!!3644355034-0-cib.310x310.jpg,892484974072,SKU-974072,6,中瓶,350,关联订单商品
大瓶500ml,泡泡水补充液泡泡枪泡泡机吹泡泡七彩泡泡液浓缩液直销,https://cbu01.alicdn.com/img/ibank/O1CN011UGZ0k1n3clM0NS8q_!!3644355034-0-cib.310x310.jpg,892484974073,SKU-974073,9,大瓶,350,关联订单商品
补充液套装,泡泡水补充液泡泡枪泡泡机吹泡泡七彩泡泡液浓缩液直销,https://cbu01.alicdn.com/img/ibank/O1CN011UGZ0k1n3clM0NS8q_!!3644355034-0-cib.310x310.jpg,892484974074,SKU-974074,12,套装,350,关联订单商品
浓缩液,泡泡水补充液泡泡枪泡泡机吹泡泡七彩泡泡液浓缩液直销,https://cbu01.alicdn.com/img/ibank/O1CN011UGZ0k1n3clM0NS8q_!!3644355034-0-cib.310x310.jpg,892484974075,SKU-974075,7,浓缩,350,关联订单商品
香薰泡泡液,泡泡水补充液泡泡枪泡泡机吹泡泡七彩泡泡液浓缩液直销,https://cbu01.alicdn.com/img/ibank/O1CN011UGZ0k1n3clM0NS8q_!!3644355034-0-cib.310x310.jpg,892484974076,SKU-974076,10,香薰,350,关联订单商品
无毒儿童款,泡泡水补充液泡泡枪泡泡机吹泡泡七彩泡泡液浓缩液直销,https://cbu01.alicdn.com/img/ibank/O1CN011UGZ0k1n3clM0NS8q_!!3644355034-0-cib.310x310.jpg,892484974077,SKU-974077,11,儿童,350,关联订单商品
1kg量程,手提电子秤精准迷你厨房小型便携式吊秤弹簧秤,https://cbu01.alicdn.com/img/ibank/O1CN01qGA7GD1XyqWLxV952_!!2217588662993-0-cib.310x310.jpg,988603973189,SKU-973189,5,1kg,95,关联订单商品
5kg量程,手提电子秤精准迷你厨房小型便携式吊秤弹簧秤,https://cbu01.alicdn.com/img/ibank/O1CN01qGA7GD1XyqWLxV952_!!2217588662993-0-cib.310x310.jpg,988603973190,SKU-973190,8,5kg,95,关联订单商品
10kg量程,手提电子秤精准迷你厨房小型便携式吊秤弹簧秤,https://cbu01.alicdn.com/img/ibank/O1CN01qGA7GD1XyqWLxV952_!!2217588662993-0-cib.310x310.jpg,988603973191,SKU-973191,12,10kg,95,关联订单商品
精准款0.1g,手提电子秤精准迷你厨房小型便携式吊秤弹簧秤,https://cbu01.alicdn.com/img/ibank/O1CN01qGA7GD1XyqWLxV952_!!2217588662993-0-cib.310x310.jpg,988603973192,SKU-973192,18,精准,95,关联订单商品
背光显示款,手提电子秤精准迷你厨房小型便携式吊秤弹簧秤,https://cbu01.alicdn.com/img/ibank/O1CN01qGA7GD1XyqWLxV952_!!2217588662993-0-cib.310x310.jpg,988603973193,SKU-973193,10,背光,95,关联订单商品
